order_id,expected_bucket,notes
ORD-1047,exception_disputed_chargeback,"Order disputed/charged back - correctly has NO settlement or bank counterpart. Should stay in exception list, not be force-matched."
ORD-1026,exception_disputed_chargeback,"Order disputed/charged back - correctly has NO settlement or bank counterpart. Should stay in exception list, not be force-matched."
ORD-1045,exception_disputed_chargeback,"Order disputed/charged back - correctly has NO settlement or bank counterpart. Should stay in exception list, not be force-matched."
ORD-1048,pending_settlement,"Order exists in ledger but settlement has not landed yet - counts as 'pending' cash, not an unresolved exception."
ORD-1031,pending_settlement,"Order exists in ledger but settlement has not landed yet - counts as 'pending' cash, not an unresolved exception."
ORD-1024,pending_settlement,"Order exists in ledger but settlement has not landed yet - counts as 'pending' cash, not an unresolved exception."
ORD-1016,pending_settlement,"Order exists in ledger but settlement has not landed yet - counts as 'pending' cash, not an unresolved exception."
ORD-1013,partial_refund,"Order settled in full, then partially refunded via a separate later bank debit. Net position != original order amount."
ORD-1052,partial_refund,"Order settled in full, then partially refunded via a separate later bank debit. Net position != original order amount."
ORD-1040,partial_refund,"Order settled in full, then partially refunded via a separate later bank debit. Net position != original order amount."
ORD-1035-DUP,duplicate_ledger_row,Accidental duplicate of ORD-1035 in the ledger itself - should be detected and NOT double-matched against settlement/bank.
ORD-1054,tier3_many_to_one_batch,"Part of SETL-2001 (2 order(s) in batch, net after fee/GST/TDS)."
ORD-1003,tier3_many_to_one_batch,"Part of SETL-2001 (2 order(s) in batch, net after fee/GST/TDS)."
ORD-1008,tier3_many_to_one_batch,"Part of SETL-2002 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1015,tier3_many_to_one_batch,"Part of SETL-2002 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1043,tier3_many_to_one_batch,"Part of SETL-2002 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1049,tier3_many_to_one_batch,"Part of SETL-2002 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1007,tier3_many_to_one_batch,"Part of SETL-2003 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1010,tier3_many_to_one_batch,"Part of SETL-2003 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1020,tier3_many_to_one_batch,"Part of SETL-2003 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1029,tier3_many_to_one_batch,"Part of SETL-2003 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1002,tier3_many_to_one_batch,"Part of SETL-2004 (2 order(s) in batch, net after fee/GST/TDS)."
ORD-1053,tier3_many_to_one_batch,"Part of SETL-2004 (2 order(s) in batch, net after fee/GST/TDS)."
ORD-1012,tier3_many_to_one_batch,"Part of SETL-2005 (3 order(s) in batch, net after fee/GST/TDS)."
ORD-1038,tier3_many_to_one_batch,"Part of SETL-2005 (3 order(s) in batch, net after fee/GST/TDS)."
ORD-1041,tier3_many_to_one_batch,"Part of SETL-2005 (3 order(s) in batch, net after fee/GST/TDS)."
ORD-1011,tier3_many_to_one_batch,"Part of SETL-2006 (3 order(s) in batch, net after fee/GST/TDS). NOTE: bank credited 30708.15 vs reported net 30708.16 (rounding drift, needs tolerance match)."
ORD-1018,tier3_many_to_one_batch,"Part of SETL-2006 (3 order(s) in batch, net after fee/GST/TDS). NOTE: bank credited 30708.15 vs reported net 30708.16 (rounding drift, needs tolerance match)."
ORD-1028,tier3_many_to_one_batch,"Part of SETL-2006 (3 order(s) in batch, net after fee/GST/TDS). NOTE: bank credited 30708.15 vs reported net 30708.16 (rounding drift, needs tolerance match)."
ORD-1033,tier1_exact_single,"Part of SETL-2007 (1 order(s) in batch, net after fee/GST/TDS)."
ORD-1035,tier3_many_to_one_batch,"Part of SETL-2008 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1044,tier3_many_to_one_batch,"Part of SETL-2008 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1035-DUP,tier3_many_to_one_batch,"Part of SETL-2008 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1042,tier3_many_to_one_batch,"Part of SETL-2008 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1046,tier3_many_to_one_batch,"Part of SETL-2008 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1056,tier3_many_to_one_batch,"Part of SETL-2009 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1006,tier3_many_to_one_batch,"Part of SETL-2009 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1021,tier3_many_to_one_batch,"Part of SETL-2009 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1014,tier3_many_to_one_batch,"Part of SETL-2009 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1039,tier3_many_to_one_batch,"Part of SETL-2009 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1030,tier1_exact_single,"Part of SETL-2010 (1 order(s) in batch, net after fee/GST/TDS)."
ORD-1022,tier1_exact_single,"Part of SETL-2011 (1 order(s) in batch, net after fee/GST/TDS)."
ORD-1036,tier3_many_to_one_batch,"Part of SETL-2012 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1055,tier3_many_to_one_batch,"Part of SETL-2012 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1004,tier3_many_to_one_batch,"Part of SETL-2012 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1009,tier3_many_to_one_batch,"Part of SETL-2012 (4 order(s) in batch, net after fee/GST/TDS)."
ORD-1023,tier3_many_to_one_batch,"Part of SETL-2013 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1005,tier3_many_to_one_batch,"Part of SETL-2013 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1019,tier3_many_to_one_batch,"Part of SETL-2013 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1034,tier3_many_to_one_batch,"Part of SETL-2013 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1037,tier3_many_to_one_batch,"Part of SETL-2013 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1051,tier3_many_to_one_batch,"Part of SETL-2014 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1027,tier3_many_to_one_batch,"Part of SETL-2014 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1050,tier3_many_to_one_batch,"Part of SETL-2014 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1001,tier3_many_to_one_batch,"Part of SETL-2014 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1017,tier3_many_to_one_batch,"Part of SETL-2014 (5 order(s) in batch, net after fee/GST/TDS)."
ORD-1025,tier3_many_to_one_batch,"Part of SETL-2015 (2 order(s) in batch, net after fee/GST/TDS). NOTE: bank credited 12706.69 vs reported net 12706.7 (rounding drift, needs tolerance match)."
ORD-1032,tier3_many_to_one_batch,"Part of SETL-2015 (2 order(s) in batch, net after fee/GST/TDS). NOTE: bank credited 12706.69 vs reported net 12706.7 (rounding drift, needs tolerance match)."
ORD-1002,settled_bank_lag,"SETL-2004 reported settled by Razorpay but bank credit not yet visible - timing mismatch, not a real exception."
ORD-1053,settled_bank_lag,"SETL-2004 reported settled by Razorpay but bank credit not yet visible - timing mismatch, not a real exception."
ORD-1035-BANKDUP,duplicate_bank_credit,"Bank shows SETL-2008's credit TWICE - one is a bank-side duplicate, must not be matched as a second real settlement."
ORD-1044-BANKDUP,duplicate_bank_credit,"Bank shows SETL-2008's credit TWICE - one is a bank-side duplicate, must not be matched as a second real settlement."
ORD-1035-DUP-BANKDUP,duplicate_bank_credit,"Bank shows SETL-2008's credit TWICE - one is a bank-side duplicate, must not be matched as a second real settlement."
ORD-1042-BANKDUP,duplicate_bank_credit,"Bank shows SETL-2008's credit TWICE - one is a bank-side duplicate, must not be matched as a second real settlement."
ORD-1046-BANKDUP,duplicate_bank_credit,"Bank shows SETL-2008's credit TWICE - one is a bank-side duplicate, must not be matched as a second real settlement."
ORD-1022-BANKDUP,duplicate_bank_credit,"Bank shows SETL-2011's credit TWICE - one is a bank-side duplicate, must not be matched as a second real settlement."
ORD-1023,settled_bank_lag,"SETL-2013 reported settled by Razorpay but bank credit not yet visible - timing mismatch, not a real exception."
ORD-1005,settled_bank_lag,"SETL-2013 reported settled by Razorpay but bank credit not yet visible - timing mismatch, not a real exception."
ORD-1019,settled_bank_lag,"SETL-2013 reported settled by Razorpay but bank credit not yet visible - timing mismatch, not a real exception."
ORD-1034,settled_bank_lag,"SETL-2013 reported settled by Razorpay but bank credit not yet visible - timing mismatch, not a real exception."
ORD-1037,settled_bank_lag,"SETL-2013 reported settled by Razorpay but bank credit not yet visible - timing mismatch, not a real exception."
(none) BTX-5019,unrelated_bank_noise,"'SAVINGS INT CREDIT Q2' is unrelated bank activity - correct system should leave this unmatched, not force it onto an order."
(none) BTX-5020,unrelated_bank_noise,"'AMB CHARGES-AUG' is unrelated bank activity - correct system should leave this unmatched, not force it onto an order."
